key,year,name,birth,WAR,G,CG,SHO,GS,W,L,SV,HLD,INN,R,ER,BF,H,2B,3B,HR,BB,IBB,HBP,SO,BK,WP,ERA,FIP,WHIP,ERA+,FIP+,WPA,team,salary
1984-01-18토마스2014,2014,토마스,1984-01-18,1.37,10,0,0,9,2,2,0,0,46.2,26,23,210,55,9,0,3,19,1,1,51,0,0,4.44,3.73,1.59,117.7,142.8,1.37,K,12409
1987-05-31차우찬2014,2014,차우찬,1987-05-31,1.34,69,0,0,0,3,4,0,21,82,57,51,375,86,15,5,9,42,2,2,79,0,7,5.6,4.89,1.56,94.5,107.9,1.34,삼,24000
1978-11-10정대현2014,2014,정대현,1978-11-10,1.34,60,0,0,0,4,2,2,13,42,19,19,181,40,13,0,2,13,2,6,27,0,0,4.07,4.4,1.26,133.9,120.1,1.34,롯,50000
1985-05-17최대성2014,2014,최대성,1985-05-17,1.32,41,0,0,0,2,2,0,1,45.1,17,13,198,41,12,0,1,25,0,3,43,0,9,2.58,4.1,1.46,211.2,127.5,1.32,롯,7500
1981-08-28마야2014,2014,마야,1981-08-28,1.27,11,1,0,11,2,4,0,0,63,36,34,278,67,10,0,6,24,0,4,54,0,2,4.86,4.71,1.44,101.8,106.8,1.27,두,12409
1985-08-25임창민2014,2014,임창민,1985-08-25,1.25,41,0,0,0,6,3,1,5,53.1,28,26,240,50,15,0,5,29,1,2,53,1,2,4.39,4.77,1.48,118.6,110.4,1.25,N,6200
1990-01-26정찬헌2014,2014,정찬헌,1990-01-26,1.22,51,0,0,0,1,3,3,8,52.2,26,26,239,57,10,2,5,27,9,5,41,0,3,4.44,4.84,1.6,111.4,103.6,1.22,L,3200
1980-04-17김사율2014,2014,김사율,1980-04-17,1.21,33,0,0,7,2,5,0,2,79.1,55,51,358,95,17,2,13,30,1,3,71,0,8,5.79,5.41,1.58,94.2,99.2,1.21,롯,15000
1981-06-17강영식2014,2014,강영식,1981-06-17,1.2,52,0,0,0,2,5,0,14,47,25,25,203,46,8,1,4,24,0,2,42,0,4,4.79,4.83,1.49,113.9,109.5,1.2,롯,30000
1979-03-02이정민2014,2014,이정민,1979-03-02,1.18,25,0,0,0,1,1,0,8,33.1,14,9,152,42,5,0,1,15,1,0,25,0,2,2.43,4.01,1.71,224.3,131.4,1.18,롯,4500
1983-11-06권혁2014,2014,권혁,1983-11-06,1.18,38,0,0,0,3,2,0,1,34.2,13,11,137,27,7,0,4,11,1,0,38,0,1,2.86,4.03,1.1,185.2,130.6,1.18,삼,26000
1983-10-11이현승2014,2014,이현승,1983-10-11,1.15,65,0,0,3,3,3,0,15,55,34,31,259,68,12,2,2,23,1,3,39,1,4,5.07,4.27,1.66,97.5,120.5,1.15,두,11000
1983-07-13박희수2014,2014,박희수,1983-07-13,1.14,21,0,0,0,1,2,13,0,20.2,8,8,88,17,2,0,1,8,2,4,29,0,0,3.48,3.13,1.21,146.5,161.9,1.14,S,19000
1983-03-07김진우2014,2014,김진우,1983-03-07,1.13,28,0,0,13,3,4,1,1,90.2,66,60,429,100,21,2,8,61,0,7,85,0,10,5.96,5.38,1.78,87.6,98.5,1.13,K,13000
1989-07-16임준섭2014,2014,임준섭,1989-07-16,1.09,29,1,1,24,5,11,0,0,130.2,95,88,588,157,25,4,15,67,1,6,54,0,8,6.06,6.17,1.71,86.1,85.4,1.09,K,6000
1989-06-18윤명준2014,2014,윤명준,1989-06-18,1.08,61,0,0,0,7,3,0,16,71.2,44,42,308,78,14,1,10,23,0,1,55,0,5,5.27,5.14,1.41,93.8,96.6,1.08,두,5700
1979-03-13마정길2014,2014,마정길,1979-03-13,1.05,56,0,0,0,3,3,0,7,64,37,34,285,57,9,0,9,30,0,12,55,0,2,4.78,5.93,1.36,110.3,90.1,1.05,넥,8800
1993-08-11이민호2014,2014,이민호,1993-08-11,1.04,51,0,0,6,7,2,2,8,88,53,49,398,93,22,0,19,38,2,8,73,0,6,5.01,6.5,1.49,103.8,81.4,1.04,N,5800
1988-01-21김현우2014,2014,김현우,1988-01-21,1.01,29,0,0,0,1,0,0,1,31,8,8,123,25,5,0,4,8,0,1,29,0,3,2.32,4.53,1.07,227.7,116.4,1.01,삼,3000
1990-12-24손정욱2014,2014,손정욱,1990-12-24,1.01,67,0,0,0,2,1,1,16,44,24,23,194,40,10,1,3,25,0,1,38,0,3,4.7,4.79,1.48,110.6,110,1.01,N,3300
1980-01-01정재훈2014,2014,정재훈,1980-01-01,0.99,54,0,0,0,1,5,2,15,53.2,33,32,230,50,8,1,6,19,1,6,56,0,0,5.37,4.56,1.29,92.2,109.4,0.99,두,35000
1988-11-21김대우2014,2014,김대우,1988-11-21,0.96,30,0,0,9,2,2,1,0,73.2,48,45,347,88,14,2,9,45,0,8,66,0,4,5.5,5.81,1.81,95.9,91.8,0.96,넥,2700
1987-07-13백정현2014,2014,백정현,1987-07-13,0.95,27,0,0,5,0,3,1,1,46.1,28,27,204,51,9,1,5,17,0,3,53,0,1,5.24,4.27,1.47,100.8,123.3,0.95,삼,4500
1979-01-19김병현2014,2014,김병현,1979-01-19,0.91,21,1,0,15,3,6,0,0,71,58,56,330,88,17,2,5,27,0,13,66,1,6,7.1,4.6,1.62,73.5,115.6,0.91,K,60000
1980-04-07김태영2014,2014,김태영,1980-04-07,0.9,48,0,0,0,5,4,1,11,50.2,34,32,228,56,13,2,6,17,2,5,45,0,1,5.68,4.8,1.44,91.8,110.6,0.9,K,8000
1991-09-20심동섭2014,2014,심동섭,1991-09-20,0.9,57,0,0,0,1,5,4,9,45.2,30,28,209,44,6,0,3,28,1,3,46,0,4,5.52,4.67,1.58,94.6,114,0.9,K,5000
1989-10-22노성호2014,2014,노성호,1989-10-22,0.89,15,0,0,6,1,2,0,1,48.1,25,24,212,44,7,2,6,28,0,2,37,0,4,4.47,5.8,1.49,116.4,91,0.89,N,4300
1982-04-25채병용2014,2014,채병용,1982-04-25,0.89,27,1,0,24,8,12,0,0,130,94,92,585,151,32,2,27,49,0,8,87,0,2,6.37,6.53,1.54,80.1,80.6,0.89,S,13500
1991-11-09문성현2014,2014,문성현,1991-11-09,0.86,20,0,0,17,9,4,0,1,85.1,59,56,402,96,27,1,12,48,0,5,51,0,4,5.91,6.35,1.69,89.3,84.3,0.86,넥,8500
1984-12-21고창성2014,2014,고창성,1984-12-21,0.7,25,0,0,0,1,1,0,1,25,9,5,107,25,6,1,1,7,0,3,11,0,1,1.8,4.7,1.28,289.1,112.3,0.7,N,7000
1976-05-27박정진2014,2014,박정진,1976-05-27,0.7,60,0,0,0,4,4,9,7,49.1,39,33,224,54,14,1,5,25,1,1,51,0,1,6.02,4.63,1.6,90.1,114.2,0.7,한,20000
1981-01-12김성배2014,2014,김성배,1981-01-12,0.69,46,0,0,0,1,0,4,11,40.2,28,27,199,54,5,1,7,22,2,2,32,0,2,5.98,6.14,1.87,91.2,87.5,0.69,롯,19000
1988-03-11윤지웅2014,2014,윤지웅,1988-03-11,0.68,53,0,0,0,1,2,0,6,36,20,17,166,40,3,0,4,16,1,3,34,0,1,4.25,4.91,1.56,116.5,101.8,0.68,L,3500
1985-05-17윤희상2014,2014,윤희상,1985-05-17,0.66,7,0,0,7,0,1,0,0,28.1,17,16,130,36,8,0,1,9,1,3,18,0,1,5.08,4.21,1.59,100.4,123.2,0.66,S,16000
1976-06-04임창용2014,2014,임창용,1976-06-04,0.65,49,0,0,0,5,4,31,0,44.2,33,29,205,50,9,3,4,21,0,4,52,0,5,5.84,4.37,1.59,90.5,120.3,0.65,삼,50000
1982-04-01박정배2014,2014,박정배,1982-04-01,0.64,43,0,0,0,6,4,1,10,43.1,29,28,197,42,6,1,3,23,3,6,34,0,5,5.82,4.99,1.5,87.8,104,0.64,S,8000
1982-06-03이명우2014,2014,이명우,1982-06-03,0.63,64,0,0,0,0,6,0,11,42.1,37,33,209,64,11,0,1,23,3,1,31,0,2,7.02,4.19,2.06,77.7,125.9,0.63,롯,13000
1993-04-01변진수2014,2014,변진수,1993-04-01,0.61,31,0,0,0,0,0,0,3,33.2,21,19,141,35,6,2,3,10,0,4,29,1,1,5.08,4.54,1.34,97.4,111,0.61,두,6500
1995-01-13함덕주2014,2014,함덕주,1995-01-13,0.6,31,0,0,0,1,0,0,2,26.1,13,13,111,24,8,0,2,12,0,1,23,0,2,4.44,4.58,1.37,111.3,110.8,0.6,두,2500
1981-03-26김건한2014,2014,김건한,1981-03-26,0.58,34,0,0,0,0,0,0,0,36.1,27,22,166,42,13,0,2,9,1,8,23,0,4,5.45,4.63,1.4,97,114.1,0.58,삼,6500
1979-03-12이혜천2014,2014,이혜천,1979-03-12,0.58,25,0,0,0,1,0,0,2,18,7,6,85,22,7,0,0,8,0,2,17,0,1,3,3.63,1.67,173.5,144.7,0.58,N,10000
1978-12-02정현욱2014,2014,정현욱,1978-12-02,0.57,25,0,0,0,2,2,0,1,32.1,17,17,148,39,6,0,4,15,0,1,24,0,0,4.73,5.46,1.67,104.6,91.5,0.57,L,40000
1986-09-16여건욱2014,2014,여건욱,1986-09-16,0.55,28,0,0,7,3,3,0,0,69.2,50,48,310,81,14,2,16,28,3,0,50,0,2,6.2,6.48,1.57,82.3,81.6,0.55,S,3000
1985-08-22박근홍2014,2014,박근홍,1985-08-22,0.54,42,0,0,0,1,0,0,5,30.1,16,15,141,25,6,0,4,28,0,3,26,0,3,4.45,6.92,1.75,118.8,76.5,0.54,삼,4000
1985-03-27타투스코2014,2014,타투스코,1985-03-27,0.52,14,1,0,12,2,6,0,0,63.2,51,50,299,64,9,2,7,45,0,6,49,0,10,7.07,6.15,1.71,76.8,86,0.52,한,12409
1979-06-13이재영2014,2014,이재영,1979-06-13,0.51,38,0,0,0,1,0,0,4,48,35,33,209,45,12,1,7,28,0,0,42,0,5,6.19,5.75,1.52,82.5,90.9,0.51,S,12000
1980-02-09이재우2014,2014,이재우,1980-02-09,0.5,11,0,0,9,1,2,0,1,37.2,21,21,176,41,14,1,5,22,0,3,30,0,1,5.02,5.98,1.67,98.6,83.6,0.5,두,12500
1995-05-07하영민2014,2014,하영민,1995-05-07,0.48,14,0,0,13,3,5,0,0,62.1,52,50,288,84,17,1,9,28,0,0,43,0,2,7.22,5.7,1.8,73,94.2,0.48,넥,12409
1993-01-03한승혁2014,2014,한승혁,1993-01-03,0.47,26,0,0,6,1,5,0,0,58.2,47,47,277,62,9,3,5,48,0,3,54,0,6,7.21,5.73,1.88,72.4,92.4,0.47,K,3200
1987-06-25배장호2014,2014,배장호,1987-06-25,0.47,16,0,0,2,2,2,0,0,28,16,15,126,27,7,1,1,15,1,5,9,0,0,4.82,5.71,1.5,113.1,92.5,0.47,롯,5200
1987-05-13신정락2014,2014,신정락,1987-05-13,0.46,15,0,0,7,1,3,0,0,51.1,38,38,220,53,7,1,8,16,1,5,39,0,1,6.66,5.53,1.34,74.3,89.4,0.46,L,10000
1977-03-01송신영2014,2014,송신영,1977-03-01,0.44,41,0,0,0,2,1,0,2,42.1,33,31,197,57,11,2,7,16,1,4,28,0,3,6.59,6.03,1.72,80,89.3,0.44,넥,30000
1990-03-30이성민2014,2014,이성민,1990-03-30,0.43,9,0,0,5,1,2,0,0,28,22,18,134,37,5,2,0,16,0,1,14,0,3,5.79,4.68,1.89,89.9,112.3,0.43,N,4200
1989-07-15홍성민2014,2014,홍성민,1989-07-15,0.4,14,0,0,6,2,3,0,0,36,23,19,156,42,6,0,7,12,0,0,11,0,0,4.75,6.77,1.5,114.8,79.7,0.4,롯,6000
1984-11-20레이예스2014,2014,레이예스,1984-11-20,0.39,13,0,0,13,2,7,0,0,78.1,64,57,369,103,24,3,10,38,1,3,41,0,4,6.55,6,1.8,77.9,87.5,0.39,S,12409
1986-09-23볼스테드2014,2014,볼스테드,1986-09-23,0.36,17,1,0,17,5,7,0,0,87,70,60,410,116,20,2,8,37,0,7,32,0,4,6.21,5.83,1.76,79.7,86.8,0.36,두,12409
1987-03-18신창호2014,2014,신창호,1987-03-18,0.36,27,0,0,1,0,1,0,0,38,29,26,181,40,12,2,3,24,0,2,33,0,4,6.16,5.2,1.68,84.8,101.9,0.36,K,3700
1985-03-31오주원2014,2014,오주원,1985-03-31,0.31,21,0,0,14,5,6,0,0,74,59,53,341,99,22,2,14,33,0,3,31,0,2,6.45,6.94,1.78,81.8,77.7,0.31,넥,12409
1992-02-20최영환2014,2014,최영환,1992-02-20,0.31,50,0,0,0,1,2,1,2,64.2,54,51,304,76,12,2,9,43,2,6,42,1,9,7.1,6.55,1.84,76.4,80.6,0.31,한,12409
1984-10-09임준혁2014,2014,임준혁,1984-10-09,0.28,30,0,0,0,1,3,0,2,32,24,18,145,34,7,1,3,18,1,2,17,0,3,5.06,5.79,1.63,103.1,91.3,0.28,K,4300
1986-05-07윤근영2014,2014,윤근영,1986-05-07,0.27,36,0,0,1,2,3,0,5,49,41,39,239,71,13,1,6,23,1,7,28,0,1,7.16,6.08,1.92,75.7,86.9,0.27,한,5700
1977-05-24서재응2014,2014,서재응,1977-05-24,0.26,16,0,0,1,0,2,0,2,32.1,25,23,152,45,11,0,6,10,0,3,18,0,0,6.4,6.36,1.7,81.5,82.8,0.26,K,20000
1985-03-08정대훈2014,2014,정대훈,1985-03-08,0.25,34,0,0,1,3,2,1,0,42.1,38,34,205,64,11,4,4,14,0,9,14,0,2,7.23,6.05,1.84,75,87.4,0.25,한,3300
1987-03-10이상백2014,2014,이상백,1987-03-10,0.24,16,0,0,0,0,0,1,0,14.1,7,7,65,13,2,1,3,6,0,2,14,0,3,4.4,6.3,1.33,116.1,83.1,0.24,S,12409
1987-08-07김세현2014,2014,김세현,1987-08-07,0.22,34,0,0,1,5,2,0,2,45,43,40,220,62,16,1,3,29,0,5,33,0,4,8,5.52,2.02,65.9,95.9,0.22,넥,7000
1986-11-18홍성용2014,2014,홍성용,1986-11-18,0.21,22,0,0,0,0,1,0,3,12.2,7,6,57,12,3,0,1,8,1,1,5,0,0,4.26,5.99,1.58,122.1,87.9,0.21,N,12409
1994-01-24신동훈2014,2014,신동훈,1994-01-24,0.21,5,0,0,0,1,0,0,0,10.1,5,4,45,10,3,0,0,5,0,3,4,0,0,3.48,5.4,1.45,142.1,96.6,0.21,L,2500
1985-11-21조현근2014,2014,조현근,1985-11-21,0.19,6,0,0,0,0,0,0,0,5.1,0,0,19,2,0,0,0,1,0,0,3,0,0,0,3.29,0.56,95.03266332,159,0.19,삼,4000
1975-10-01나이트2014,2014,나이트,1975-10-01,0.19,6,0,0,6,1,2,0,0,29.1,22,18,142,36,6,0,5,22,0,1,19,0,0,5.52,7.13,1.98,95.5,75.3,0.19,넥,12409
1984-03-17송은범2014,2014,송은범,1984-03-17,0.19,27,0,0,11,4,8,0,0,78.2,73,64,390,114,16,5,11,43,0,5,60,0,12,7.32,5.98,2,71.3,88.3,0.19,K,30000
1995-09-11이수민2014,2014,이수민,1995-09-11,0.18,5,0,0,0,1,0,0,1,7.1,2,2,39,7,1,0,0,10,1,1,7,0,0,2.45,6.04,2.32,215.4,87.3,0.18,삼,12409
1987-11-09문광은2014,2014,문광은,1987-11-09,0.18,9,0,0,7,1,2,0,0,32.2,26,23,149,40,8,0,7,10,0,0,23,0,1,6.34,6.15,1.53,80.5,85.9,0.18,S,3200
1988-04-08김명성2014,2014,김명성,1988-04-08,0.18,8,0,0,0,0,0,0,0,7.2,2,2,28,4,1,1,1,2,0,0,3,0,1,2.35,5.55,0.78,210.6,89.9,0.18,두,3100
1993-07-24허건엽2014,2014,허건엽,1993-07-24,0.17,3,0,0,0,0,0,0,0,5,0,0,18,3,1,0,0,2,0,0,1,0,0,0,4.66,1,95.03266332,112.1,0.17,S,12409
1991-02-05장민익2014,2014,장민익,1991-02-05,0.16,8,0,0,0,0,0,0,1,5.1,2,2,22,7,1,0,0,2,0,0,1,0,1,3.38,4.61,1.69,146.5,113.8,0.16,두,2700
1983-08-12이동걸2014,2014,이동걸,1983-08-12,0.16,8,0,0,2,0,1,0,0,20,15,10,84,21,4,1,4,7,0,3,16,0,0,4.5,6.36,1.4,120.6,83.3,0.16,한,3000
