,YYYY,team,name,birth,WAR,G,CG,SHO,GS,W,L,SV,HLD,INN,R,ER,BF,H,2B,3B,HR,BB,IBB,HBP,SO,BK,WP,ERA,FIP,WHIP,ERA+,FIP+,WPA,salary,salary_log
47,2022,GIANTS,최준용,2001-10-10,1.29,68,0,0,0,3,4,14,6,71.0,35,32,303,63,13,0,10,20,3,6,80,0.0,4.0,4.06,3.89,1.17,102.6,104.4,0.33,10700.0,9.277999020449997
48,2022,TIGERS,장현식,1995-02-24,1.27,54,0,0,0,2,3,1,19,52.0,21,19,233,54,11,2,4,26,3,1,40,0.0,5.0,3.29,4.18,1.54,124.0,97.6,-0.37,20000.0,9.903487552536127
49,2022,DYNOS,김태경,2001-04-07,1.26,16,0,0,7,3,2,0,1,44.1,16,16,194,36,6,0,4,21,0,5,31,0.0,2.0,3.25,4.87,1.29,125.4,84.3,0.43,3300.0,8.101677747454572
50,2022,TIGERS,이의리,2002-06-16,1.26,29,0,0,28,10,10,0,0,154.0,79,66,671,128,26,4,18,74,0,9,161,0.0,7.0,3.86,4.38,1.31,105.7,93.7,-0.53,9000.0,9.104979856318357
51,2022,HEROS,문성현,1991-11-09,1.23,45,0,0,0,0,1,13,9,41.1,16,15,168,34,5,0,3,14,0,1,32,0.0,2.0,3.27,3.82,1.16,122.5,103.3,0.52,8800.0,9.082507000466299
52,2022,HEROS,최원태,1997-01-07,1.2,26,0,0,20,7,5,0,0,105.2,50,44,446,94,25,0,5,40,0,5,63,0.0,5.0,3.75,4.04,1.27,106.7,98.8,0.83,15000.0,9.615805480084347
53,2022,TWINS,이정용,1997-03-26,1.16,65,0,0,0,4,4,1,22,59.1,26,21,250,52,12,1,3,18,3,2,40,0.0,3.0,3.19,3.51,1.18,124.8,114.4,-0.22,5000.0,8.517193191416238
54,2022,TIGERS,주권,1995-05-31,1.14,58,0,0,0,3,3,1,15,50.2,22,22,203,58,7,1,3,8,0,0,31,0.0,0.0,3.91,3.36,1.3,105.4,121.5,0.86,29500.0,10.292145542327912
55,2022,BEARS,홍건희,1992-09-29,1.09,58,0,0,0,2,9,18,9,62.0,30,24,265,58,9,0,5,21,3,2,60,0.0,4.0,3.48,3.42,1.27,114.2,116.0,0.16,25000.0,10.126631103850338
56,2022,LIONS,우규민,1985-01-21,1.07,60,0,0,0,4,3,1,16,47.0,21,17,201,55,11,0,3,6,2,4,31,1.0,0.0,3.26,3.36,1.3,128.2,122.7,-0.31,20000.0,9.903487552536127
57,2022,DYNOS,파슨스,1992-09-06,1.04,8,0,0,8,1,2,0,0,43.0,19,17,182,34,4,2,4,21,0,1,43,0.0,8.0,3.56,4.08,1.28,114.5,100.7,0.12,44000.0,10.691944912900398
58,2022,EAGLES,윤산흠,1999-05-15,1.03,37,0,0,0,1,1,0,3,33.2,12,10,155,23,7,0,1,30,4,2,46,0.0,6.0,2.67,3.49,1.57,151.4,117.0,0.15,3100.0,8.039157390473237
59,2022,BEARS,스탁,1989-11-21,1.0,29,0,0,29,9,10,0,0,165.0,87,65,722,161,24,2,9,83,0,10,138,0.0,12.0,3.55,4.07,1.48,112.2,98.7,-0.98,40000.0,10.596634733096073
60,2022,TIGERS,전상현,1996-04-18,1.0,50,0,0,0,5,5,2,16,46.1,20,17,195,42,10,0,2,16,2,0,53,0.0,2.0,3.3,2.52,1.25,123.5,162.0,0.56,11000.0,9.305650551780507
61,2022,TIGERS,데스파이네,1987-04-04,0.99,30,0,0,29,8,12,0,0,163.0,94,82,725,198,27,0,14,48,2,9,123,1.0,7.0,4.53,3.96,1.51,90.9,102.9,-1.34,70000.0,11.156250521031495
62,2022,TIGERS,박영현,2003-10-11,0.97,52,0,0,0,0,1,0,2,51.2,23,21,219,46,8,0,5,20,1,0,55,0.0,3.0,3.66,3.57,1.28,112.6,114.3,-0.29,3000.0,8.006367567650246
63,2022,TIGERS,이채호,1998-11-23,0.96,38,0,0,0,5,0,0,3,36.2,13,12,156,28,11,0,0,13,2,6,32,0.0,2.0,2.95,2.98,1.12,139.8,135.9,0.59,3000.0,8.006367567650246
64,2022,TWINS,최성훈,1989-10-11,0.89,45,0,0,0,0,0,0,6,33.1,10,8,139,23,4,2,1,13,2,3,22,0.0,2.0,2.16,3.67,1.08,184.0,110.4,0.42,10500.0,9.259130536145614
65,2022,WYVERNS,장지훈,1998-12-06,0.86,40,0,0,0,2,0,0,6,55.0,26,26,231,56,8,2,6,11,2,3,33,0.0,4.0,4.25,4.21,1.22,97.8,99.4,-0.3,10500.0,9.259130536145614
66,2022,GIANTS,김도규,1998-07-11,0.86,55,0,0,0,4,4,3,8,51.0,26,21,218,48,8,1,2,19,2,4,45,0.0,3.0,3.71,3.32,1.31,112.3,123.2,0.45,5700.0,8.648221453822641
