name,birth,debut,career
송현우,1981-09-16,2004,5
김태완,1981-09-19,2004,11
윤성환,1981-10-08,2004,15
이정식,1981-11-02,2004,11
이범호,1981-11-25,2000,19
디아즈,1981-12-10,2009,1
박준서,1981-12-11,2001,15
서정호,1981-12-24,2004,4
이동훈,1981-12-25,2005,5
김성태,1982-01-03,2002,8
배스,1982-01-06,2012,1
서민욱,1982-01-09,2005,3
칸투,1982-01-30,2014,1
이윤학,1982-02-25,2002,2
손승락,1982-03-04,2005,12
김동건,1982-03-07,2001,8
라이트,1982-03-13,2010,1
신재웅,1982-03-28,2005,12
윤요섭,1982-03-30,2008,10
박정배,1982-04-01,2005,13
제춘모,1982-04-05,2002,8
박종윤,1982-04-11,2002,12
김덕윤,1982-04-21,2001,6
채병용,1982-04-25,2002,15
이정호,1982-04-27,2001,6
이우민,1982-05-04,2001,15
히메네스,1982-05-07,2014,1
장민석,1982-05-09,2008,10
최훈락,1982-05-12,2005,6
백준영,1982-05-18,2006,2
스나이더,1982-05-25,2014,2
김태균,1982-05-29,2001,19
정원,1982-06-01,2001,6
이명우,1982-06-03,2002,14
이대호,1982-06-21,2001,17
송산,1982-07-02,2005,5
손승현,1982-07-08,2005,4
추신수,1982-07-13,2021,2
오승환,1982-07-15,2005,12
페르난도,1982-07-15,2011,1
존슨,1982-07-19,2009,1
박재상,1982-07-20,2001,13
폭스,1982-07-20,2015,1
오재필,1982-07-27,2006,5
저마노,1982-08-06,2011,2
정희상,1982-08-13,2005,3
백승룡,1982-08-16,2005,7
김강민,1982-09-13,2002,21
박성훈,1982-09-19,2005,8
정근우,1982-10-02,2005,16
사도스키,1982-10-04,2010,3
채태인,1982-10-11,2007,14
김백만,1982-10-12,2001,6
주키치,1982-10-17,2011,3
울프,1982-10-18,2014,1
앤서니,1982-10-28,2012,2
트레비스,1982-11-04,2011,1
조영훈,1982-11-12,2005,11
차정민,1982-11-23,2005,5
김경언,1982-12-07,2001,16
조중근,1982-12-20,2003,12
험버,1982-12-21,2015,1
정상호,1982-12-24,2001,18
데폴라,1982-12-31,2010,2
마틴,1983-01-02,2014,1
발디리스,1983-01-05,2016,1
이동현,1983-01-12,2001,15
시스코,1983-01-13,2015,1
김용섭,1983-01-18,2007,2
곽용섭,1983-02-03,2003,4
고효준,1983-02-08,2002,18
최준석,1983-02-15,2002,16
곤잘레스,1983-02-23,2010,1
김진우,1983-03-07,2002,13
장태종,1983-03-08,2006,2
김효남,1983-03-26,2006,5
해커,1983-03-26,2013,6
박도현,1983-04-12,2007,2
박정규,1983-04-17,2007,3
이우선,1983-04-19,2009,6
김기표,1983-04-25,2006,8
황덕균,1983-04-28,2013,4
에반,1983-05-12,2015,1
이경환,1983-05-21,2002,4
정홍준,1983-05-25,2006,3
오넬리,1983-05-26,2011,1
조태수,1983-05-29,2003,8
류제국,1983-05-30,2013,6
문수호,1983-06-04,2004,8
매티스,1983-06-07,2011,1
이승재,1983-06-09,2006,3
장원삼,1983-06-09,2006,15
서성종,1983-06-17,2008,2
송광민,1983-06-24,2006,13
핸킨스,1983-07-01,2013,1
황동채,1983-07-04,2006,8
문규현,1983-07-05,2002,15
박희수,1983-07-13,2006,12
양영동,1983-07-16,2006,4
홍유택,1983-07-16,2007,1
이대형,1983-07-19,2003,17
조동찬,1983-07-27,2002,16
이동걸,1983-08-12,2008,9
신승현,1983-08-13,2000,15
세데뇨,1983-08-19,2009,1
김경선,1983-08-20,2007,2
임세업,1983-09-01,2013,1
안영진,1983-09-03,2011,2
노병오,1983-09-07,2002,5
신용운,1983-09-08,2002,10
연경흠,1983-09-14,2006,6
정민혁,1983-09-14,2007,4
허웅,1983-09-17,2011,3
윤길현,1983-09-23,2002,16
이태호,1983-09-24,2002,6
안지만,1983-10-01,2003,14
오간도,1983-10-05,2017,1
리즈,1983-10-06,2011,3
이병규,1983-10-09,2006,15
이현승,1983-10-11,2006,15
세든,1983-10-13,2013,3
탈보트,1983-10-17,2012,2
올슨,1983-10-18,2013,1
마르테,1983-10-21,2015,2
조순권,1983-10-28,2007,2
카리대,1983-10-28,2013,1
이브랜드,1983-10-29,2013,1
권혁,1983-11-06,2002,18
맥스웰,1983-11-06,2016,1
비야누에바,1983-11-28,2017,1
손주인,1983-12-01,2002,15
배힘찬,1983-12-08,2002,10
류재원,1983-12-13,2006,4
최형우,1983-12-16,2002,17
