birth||name,year||team,WAR,G,CG,SHO,GS,W,L,SV,HLD,INN,R,ER,BF,H,2B,3B,HR,BB,IBB,HBP,SO,BK,WP,ERA,FIP,WHIP,ERA+,FIP+,WPA
1990-07-03 || 이태양,22S,2.01,30,0,0,17,8,3,0,1,112,50,45,472,116,18,0,15,24,2,5,61,0,0,3.62,4.71,1.25,115.1,88.9,0.86
1995-07-25 || 김민우,22한,1.99,29,1,0,29,6,11,0,0,163,82,79,711,143,40,1,16,84,8,8,129,0,13,4.36,4.58,1.39,92.8,89.1,0.53
1998-03-16 || 나균안,22롯,1.94,39,0,0,13,3,8,0,2,117.2,55,52,506,125,36,3,5,37,1,3,123,0,6,3.98,2.79,1.38,104.7,146.6,-0.72
1994-04-28 || 파노니,22K,1.9,14,0,0,14,3,4,0,0,82.2,32,24,348,78,6,1,5,24,0,2,73,0,5,2.61,3.3,1.23,156,124.2,0.58
1999-02-24 || 김시훈,22N,1.88,59,0,0,7,4,5,0,11,83.1,35,30,365,75,10,0,7,43,0,4,79,1,2,3.24,4.23,1.42,125.7,97.2,0.44
1995-11-30 || 박세웅,22롯,1.87,28,0,0,28,10,11,0,0,157.1,80,66,679,180,32,4,8,32,1,8,146,0,7,3.78,2.89,1.35,110.3,141.6,-0.14
2000-02-10 || 김영규,22N,1.84,72,0,0,0,2,7,1,13,66,26,25,269,56,8,2,5,22,4,7,46,0,3,3.41,4.07,1.18,119.5,101,0.03
1988-12-01 || 스트레일리,22롯,1.82,11,0,0,11,4,2,0,0,62.1,24,16,260,54,8,0,5,22,0,6,55,0,2,2.31,3.96,1.22,180.2,102.8,0.64
2001-08-23 || 정해영,22K,1.78,55,0,0,0,3,7,32,0,56,21,21,238,54,12,1,3,18,1,0,43,0,0,3.38,3.41,1.29,120.8,120,1.31
1982-07-15 || 오승환,22삼,1.69,57,0,0,0,6,2,31,2,57,23,21,239,59,9,1,8,13,0,1,51,0,1,3.32,4.11,1.26,125.9,101.5,0.24
1988-03-01 || 양현종,22K,1.68,30,0,0,30,12,7,0,0,175.1,86,75,743,170,33,3,14,50,1,3,141,0,3,3.85,3.66,1.26,105.9,112.1,0.27
1993-04-16 || 임기영,22K,1.66,26,0,0,23,4,13,1,0,129.1,63,61,555,137,25,1,18,36,1,5,82,0,2,4.24,4.81,1.34,96,85.4,-0.24
1993-11-29 || 김명신,22두,1.64,68,0,0,0,3,3,0,10,79.2,33,32,333,75,9,2,5,25,0,3,61,0,4,3.62,3.68,1.26,110.1,108.5,0.17
1994-12-21 || 최원준,22두,1.62,30,0,0,30,8,13,0,0,165,80,66,713,183,31,2,21,37,0,7,113,1,2,3.6,4.42,1.33,110.5,88.7,-0.53
1991-06-18 || 이인복,22롯,1.59,26,0,0,23,9,9,0,1,126.2,63,59,547,153,22,1,6,30,0,4,71,0,4,4.19,3.64,1.45,99.3,112,0.01
1992-08-04 || 이우찬,22L,1.54,36,0,0,0,5,0,0,2,44.2,10,9,182,29,4,0,2,21,1,1,42,0,4,1.81,3.45,1.12,219.2,116.5,0.82
1986-06-26 || 진해수,22L,1.53,64,0,0,0,4,0,0,12,45,12,11,180,39,6,3,1,11,0,1,35,0,2,2.2,2.87,1.11,180.7,140.8,1.1
1985-03-07 || 김진성,22L,1.53,67,0,0,0,6,3,0,12,58,21,20,236,44,6,1,6,22,3,1,54,0,2,3.1,3.86,1.14,128.1,102.2,0.61
1999-02-08 || 이승호,22키,1.49,53,0,0,0,3,2,10,10,50.1,20,20,215,44,9,0,7,27,1,3,44,0,6,3.58,5.13,1.41,111.8,76.4,1.53
1991-05-08 || 김대유,22L,1.39,59,0,0,0,2,1,0,13,39.2,11,10,172,36,6,2,2,15,3,8,36,0,0,2.27,3.69,1.29,175.2,108.8,0.22
1993-01-05 || 애플러,22키,1.33,33,1,1,25,6,8,0,0,140.1,69,67,622,172,34,1,13,40,1,6,86,0,4,4.3,4.28,1.51,93.1,92.3,-0.24
1992-10-02 || 서진용,22S,1.3,68,0,0,0,7,3,21,12,67.1,32,30,297,64,10,1,5,36,3,3,55,0,6,4.01,4.27,1.49,103.8,97.6,2.6
1992-08-10 || 이준영,22K,1.29,75,0,0,0,1,1,1,17,46.1,17,15,202,41,8,0,3,26,3,0,42,0,0,2.91,3.86,1.45,139.9,105.8,0.33
2001-10-10 || 최준용,22롯,1.29,68,0,0,0,3,4,14,6,71,35,32,303,63,13,0,10,20,3,6,80,0,4,4.06,3.89,1.17,102.6,104.4,0.33
1995-02-24 || 장현식,22K,1.27,54,0,0,0,2,3,1,19,52,21,19,233,54,11,2,4,26,3,1,40,0,5,3.29,4.18,1.54,124,97.6,-0.37
2001-04-07 || 김태경,22N,1.26,16,0,0,7,3,2,0,1,44.1,16,16,194,36,6,0,4,21,0,5,31,0,2,3.25,4.87,1.29,125.4,84.3,0.43
2002-06-16 || 이의리,22K,1.26,29,0,0,28,10,10,0,0,154,79,66,671,128,26,4,18,74,0,9,161,0,7,3.86,4.38,1.31,105.7,93.7,-0.53
1991-11-09 || 문성현,22키,1.23,45,0,0,0,0,1,13,9,41.1,16,15,168,34,5,0,3,14,0,1,32,0,2,3.27,3.82,1.16,122.5,103.3,0.52
1997-01-07 || 최원태,22키,1.2,26,0,0,20,7,5,0,0,105.2,50,44,446,94,25,0,5,40,0,5,63,0,5,3.75,4.04,1.27,106.7,98.8,0.83
1992-03-02 || 김태훈,22키,1.19,43,0,0,0,3,2,9,10,43,18,15,188,40,7,0,3,20,2,2,34,0,2,3.14,4.06,1.4,127.4,97.5,0.15
