birth||name,year||team||pos,WAR,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,IBB,SO,DP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC+,WPA
1989-03-17 || 라가레스,22SLF,1.19,49,202,180,24,57,9,0,6,84,32,3,1,14,1,1,18,4,4,3,0.317,0.364,0.467,0.83,0.368,126.9,1.19
1999-07-17 || 이재원,22LDH,1.19,85,253,223,31,50,8,2,13,101,43,3,1,18,12,2,77,3,0,0,0.224,0.316,0.453,0.769,0.346,122,0.61
1995-12-12 || 피터스,22롯CF,1.18,85,354,316,32,72,16,0,13,127,48,7,4,26,8,1,77,5,0,4,0.228,0.299,0.402,0.701,0.319,93.7,1.09
1994-07-03 || 김인태,22두RF,1.17,83,279,235,25,58,6,0,5,79,25,1,0,41,3,1,47,6,0,0,0.247,0.366,0.336,0.702,0.337,109.9,0.08
1993-04-19 || 안권수,22두RF,1.15,76,267,239,43,71,7,2,0,82,20,3,4,26,1,0,40,6,1,0,0.297,0.368,0.343,0.712,0.339,108.3,-0.47
1990-10-07 || 정수빈,22두CF,1.13,127,455,405,58,105,12,4,3,134,41,15,8,39,1,1,56,2,6,4,0.259,0.323,0.331,0.654,0.303,85.3,0.81
1986-10-21 || 이원석,22삼3B,1.12,88,335,288,31,77,13,0,10,120,60,0,0,33,5,2,70,7,3,6,0.267,0.346,0.417,0.763,0.345,110.2,1.31
1996-02-10 || 황대인,22K1B,1.08,129,524,476,40,122,27,0,14,191,91,0,0,36,7,2,92,20,0,5,0.256,0.315,0.401,0.716,0.327,100,-1.18
2000-11-25 || 전의산,22S1B,1,77,266,241,36,60,15,1,13,116,45,0,0,24,0,3,84,6,0,1,0.249,0.316,0.481,0.797,0.353,114,0.2
1997-06-10 || 김태연,22한3B,0.95,119,464,404,46,97,18,0,7,136,53,3,2,48,5,1,106,9,3,4,0.24,0.325,0.337,0.662,0.31,89.1,-1.45
1992-02-24 || 오윤석,22K2B,0.84,111,337,286,23,67,13,0,6,98,37,2,1,34,6,0,69,9,5,6,0.234,0.322,0.343,0.665,0.308,86.1,0.26
1996-05-03 || 김민혁,22두1B,0.79,38,97,88,11,25,2,0,5,42,16,0,0,7,2,0,25,6,0,0,0.284,0.351,0.477,0.828,0.377,142.7,0.11
1989-06-28 || 김민식,22KSC,0.76,104,266,222,30,49,9,1,2,66,28,0,0,32,2,1,45,4,7,3,0.221,0.321,0.297,0.618,0.288,73.4,-0.99
1994-01-28 || 김인환,22한1B,0.73,113,429,398,48,104,14,0,16,166,54,2,0,24,3,2,111,4,0,4,0.261,0.305,0.417,0.722,0.327,100.3,-1.43
2003-10-02 || 김도영,22K3B,0.72,103,254,224,37,53,11,4,3,81,19,13,3,22,3,0,62,3,4,1,0.237,0.312,0.362,0.674,0.309,88.1,-0.53
1993-03-28 || 가르시아,22L2B,0.59,39,156,136,21,28,6,1,4,48,19,4,1,19,1,0,40,4,0,0,0.206,0.308,0.353,0.661,0.31,93.1,-0.91
1990-03-23 || 김상수,22삼SS,0.56,72,260,235,30,59,11,0,2,76,29,2,1,18,1,0,44,6,4,2,0.251,0.305,0.323,0.628,0.291,75.2,-0.79
1997-08-05 || 박준영,22N3B,0.53,75,240,208,27,45,8,1,4,67,19,7,2,27,1,0,54,6,3,1,0.216,0.308,0.322,0.63,0.295,78.9,-1.16
1989-07-07 || 오선진,22삼3B,0.53,100,306,268,30,74,8,0,3,91,24,2,2,18,3,0,51,5,16,1,0.276,0.328,0.34,0.667,0.299,79.9,-0.72
1988-02-28 || 최주환,22S2B,0.52,97,333,298,36,63,14,2,9,108,41,0,0,29,4,2,55,5,0,2,0.211,0.288,0.362,0.651,0.298,79.1,-0.42
2000-12-06 || 김대한,22두RF,0.5,51,110,96,13,23,6,1,4,43,11,2,1,5,6,0,27,0,2,1,0.24,0.315,0.448,0.763,0.339,115.5,-0.09
1990-12-30 || 권희동,22NCF,0.49,82,280,238,30,53,5,1,5,75,22,2,1,31,8,1,44,3,2,1,0.223,0.331,0.315,0.646,0.307,87.4,0.39
1994-04-10 || 지시완,22롯C,0.48,75,199,174,16,37,7,0,3,53,17,0,0,20,2,1,55,7,2,1,0.213,0.3,0.305,0.604,0.283,68.3,-0.31
1994-07-17 || 이우성,22KLF,0.44,80,137,120,23,35,7,0,1,45,12,1,3,12,1,0,20,5,4,0,0.292,0.361,0.375,0.736,0.337,106.9,-1.03
1997-05-25 || 양찬열,22두RF,0.43,41,94,82,15,20,4,0,3,33,12,0,0,11,0,0,23,2,1,0,0.244,0.333,0.402,0.736,0.337,113.1,0.38
1989-01-11 || 고종욱,22KDH,0.4,62,114,106,13,30,7,1,2,45,14,1,0,7,0,0,21,2,1,0,0.283,0.327,0.425,0.752,0.341,110.4,0.63
1995-08-25 || 김기환,22NCF,0.37,73,131,113,26,25,5,1,0,32,6,14,2,13,2,0,38,0,2,1,0.221,0.31,0.283,0.593,0.282,71,-1.17
1996-03-05 || 김주형,22키SS,0.33,55,130,110,16,22,7,1,1,34,5,1,0,4,13,0,29,4,2,1,0.2,0.305,0.309,0.614,0.291,76,-0.93
1997-03-03 || 박상언,22한C,0.32,56,151,134,16,30,5,1,4,49,17,0,3,11,0,0,28,2,5,1,0.224,0.281,0.366,0.647,0.287,73.4,-0.83
1992-01-25 || 안승한,22두C,0.32,30,39,36,5,12,3,0,0,15,8,0,0,2,0,0,12,0,1,0,0.333,0.368,0.417,0.785,0.356,122.1,0.21
1994-08-23 || 손호영,22L2B,0.31,36,82,74,13,19,0,2,3,32,14,0,3,6,0,0,14,2,1,1,0.257,0.309,0.432,0.741,0.33,106.7,0.03
1996-01-05 || 신용수,22롯RF,0.3,49,73,68,8,16,4,2,2,30,7,3,1,4,1,0,15,0,0,0,0.235,0.288,0.441,0.729,0.328,97.8,0.19
1984-07-31 || 허도환,22LC,0.29,64,92,85,7,21,5,0,1,29,6,0,0,2,2,0,26,2,3,0,0.247,0.281,0.341,0.622,0.28,71.2,-0.49
1988-02-24 || 이재원,22SC,0.28,105,279,234,27,47,6,0,4,65,28,1,0,25,8,1,44,13,9,3,0.201,0.296,0.278,0.574,0.267,57.8,-1.59
1993-08-30 || 조수행,22두LF,0.28,117,134,119,36,28,4,1,1,37,9,22,7,10,1,0,31,4,2,2,0.235,0.296,0.311,0.606,0.281,70.3,-0.74
1989-08-22 || 서건창,22L2B,0.28,77,247,219,39,49,10,1,2,67,18,8,3,20,4,0,44,5,3,1,0.224,0.299,0.306,0.605,0.285,73.4,-1.75
1992-04-30 || 김호령,22KCF,0.28,54,88,77,21,21,1,1,1,27,8,2,1,7,0,0,22,4,4,0,0.273,0.333,0.351,0.684,0.307,87.1,-0.63
1999-02-20 || 송찬의,22L2B,0.25,33,78,72,8,17,4,0,3,30,10,2,1,2,3,0,24,0,0,1,0.236,0.282,0.417,0.699,0.316,100.2,-0.65
1995-08-22 || 임지열,22키LF,0.25,40,148,131,16,36,6,0,1,45,15,1,0,10,2,0,43,2,3,2,0.275,0.331,0.344,0.675,0.311,91.2,-0.55
