,YYYY,team,pos,name,birth,WAR,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,IBB,SO,DP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC+,WPA,salary,key,key_fnl,most_value_fnl,salary_log
10,2022,DYNOS,C,양의지,1987-06-05,4.61,130,510,427,61,121,24,0,20,205,94,3,1,60,13,6,48,16,0,10,0.283,0.38,0.48,0.861,0.386,140.3,0.76,100000,양의지1987-06-05,양의지1987-06-05,C,11.512925464970229
11,2022,DYNOS,CF,박건우,1990-09-08,4.47,111,463,408,52,137,18,1,10,187,61,3,3,44,8,1,62,10,0,3,0.336,0.408,0.458,0.867,0.4,151.9,1.02,190000,박건우1990-09-08,박건우1990-09-08,RF,12.154779351142624
12,2022,WYVERNS,SS,박성한,1998-03-30,4.23,140,564,494,68,147,24,4,2,185,56,12,8,60,2,1,81,5,6,2,0.298,0.375,0.374,0.749,0.349,116.6,1.49,14000,박성한1998-03-30,박성한1998-03-30,SS,9.546812608597396
13,2022,TWINS,3B,문보경,2000-07-19,4.02,126,466,406,52,128,22,3,9,183,56,7,0,47,1,1,56,11,5,7,0.315,0.382,0.451,0.833,0.377,138.3,1.1,6800,문보경2000-07-19,문보경2000-07-19,3B,8.824677891164198
14,2022,DYNOS,LF,마티니,1990-06-27,3.96,139,576,510,67,153,34,1,16,237,85,13,4,51,8,5,86,8,0,7,0.3,0.368,0.465,0.833,0.376,134.9,0.53,44000,마티니1990-06-27,마티니1990-06-27,LF,10.691944912900398
15,2022,WYVERNS,RF,한유섬,1989-08-09,3.9,135,545,458,62,121,33,1,21,219,100,1,1,66,16,6,137,8,0,5,0.264,0.373,0.478,0.851,0.382,134.9,3.45,240000,한유섬1989-08-09,한유섬1989-08-09,RF,12.388394202324129
16,2022,TIGERS,1B,박병호,1986-07-10,3.85,124,487,429,72,118,17,0,35,240,98,5,3,40,12,3,131,7,0,6,0.275,0.349,0.559,0.909,0.399,147.8,3.71,60000,박병호1986-07-10,박병호1986-07-10,1B,11.002099841204238
17,2022,GIANTS,3B,한동희,1999-06-01,3.77,129,499,456,43,140,27,0,14,209,65,0,0,33,6,2,64,15,0,4,0.307,0.359,0.458,0.817,0.372,129.2,0.32,17200,한동희1999-06-01,한동희1999-06-01,3B,9.752664662801545
18,2022,EAGLES,2B,정은원,2000-01-17,3.7,140,601,508,67,140,20,2,8,188,49,10,6,85,1,0,109,10,4,3,0.276,0.379,0.37,0.749,0.352,118.2,-0.81,19080,정은원2000-01-17,정은원2000-01-17,2B,9.856395945002278
19,2022,GIANTS,DH,이대호,1982-06-21,3.58,143,591,540,53,179,23,0,23,271,101,0,0,43,2,7,56,26,0,6,0.331,0.379,0.502,0.881,0.395,146.2,0.96,80000,이대호1982-06-21,이대호1982-06-21,DH,11.289781913656018
